Series ID,Region Name,Region Code,01-06-2023
ARASURN,"Ashley County, AR",5003,5.2
ARBAURN,"Baxter County, AR",5005,3.3
ARBEURN,"Benton County, AR",5007,2.3
ARBOURN,"Boone County, AR",5009,2.9
ARBRURN,"Bradley County, AR",5011,4.2
ARCAURN,"Calhoun County, AR",5013,2.6
ARCRURN,"Carroll County, AR",5015,2.6
ARCHURN,"Chicot County, AR",5017,5.3
ARCLURN,"Clark County, AR",5019,4.9
ARCYURN,"Clay County, AR",5021,3.7
ARCEURN,"Cleburne County, AR",5023,3.6
ARCVURN,"Cleveland County, AR",5025,3.2
ARCOURN,"Columbia County, AR",5027,4.1
ARCNURN,"Conway County, AR",5029,3.4
ARCIURN,"Craighead County, AR",5031,2.5
ARCWURN,"Crawford County, AR",5033,3.3
ARCTURN,"Crittenden County, AR",5035,3.9
ARCSURN,"Cross County, AR",5037,3.1
ARDAURN,"Dallas County, AR",5039,3.6
ARDEURN,"Desha County, AR",5041,4.1
ARDRURN,"Drew County, AR",5043,3.8
ARFAURN,"Faulkner County, AR",5045,2.7
ARFRURN,"Franklin County, AR",5047,2.9
ARFUURN,"Fulton County, AR",5049,3.3
ARGAURN,"Garland County, AR",5051,3.4
ARGRURN,"Grant County, AR",5053,2.7
ARGEURN,"Greene County, AR",5055,3.1
ARHEURN,"Hempstead County, AR",5057,3.2
ARHOURN,"Hot Spring County, AR",5059,3.3
ARHWURN,"Howard County, AR",5061,3.3
ARINURN,"Independence County, AR",5063,3.6
ARIZURN,"Izard County, AR",5065,5.3
ARJAURN,"Jackson County, AR",5067,4.5
ARJEURN,"Jefferson County, AR",5069,4.2
ARJOURN,"Johnson County, AR",5071,3.9
ARLAURN,"Lafayette County, AR",5073,4.4
ARLWURN,"Lawrence County, AR",5075,3.2
ARLEURN,"Lee County, AR",5077,4.7
ARLIURN,"Lincoln County, AR",5079,3.5
ARLTURN,"Little River County, AR",5081,3.1
ARLOURN,"Logan County, AR",5083,3.8
ARLNURN,"Lonoke County, AR",5085,2.5
ARMAURN,"Madison County, AR",5087,2.4
ARMRURN,"Marion County, AR",5089,3.8
ARMIURN,"Miller County, AR",5091,3.5
ARMSURN,"Mississippi County, AR",5093,5.3
ARMOURN,"Monroe County, AR",5095,3.6
ARMNURN,"Montgomery County, AR",5097,4.4
ARNEURN,"Nevada County, AR",5099,3.8
ARNWURN,"Newton County, AR",5101,3
AROUURN,"Ouachita County, AR",5103,3.4
ARPEURN,"Perry County, AR",5105,3.2
ARPHURN,"Phillips County, AR",5107,5.5
ARPIURN,"Pike County, AR",5109,3.4
ARPOURN,"Poinsett County, AR",5111,3
